descriptions
"BARLEY - APPLICATIONS, MEASURED IN NUMBER, AVG"
"CORN - APPLICATIONS, MEASURED IN NUMBER, AVG"
"COTTON - APPLICATIONS, MEASURED IN NUMBER, AVG"
"PEANUTS - APPLICATIONS, MEASURED IN NUMBER, AVG"
"POTATOES, FALL - APPLICATIONS, MEASURED IN NUMBER, AVG"
"RICE - APPLICATIONS, MEASURED IN NUMBER, AVG"
"SORGHUM - APPLICATIONS, MEASURED IN NUMBER, AVG"
"SOYBEANS - APPLICATIONS, MEASURED IN NUMBER, AVG"
"SUGARBEETS - APPLICATIONS, MEASURED IN NUMBER, AVG"
"WHEAT, SPRING, (EXCL DURUM) - APPLICATIONS, MEASURED IN NUMBER, AVG"
"WHEAT, SPRING, DURUM - APPLICATIONS, MEASURED IN NUMBER, AVG"
"WHEAT, WINTER - APPLICATIONS, MEASURED IN NUMBER, AVG"
