"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","59,000",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)"," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BENZOVINDIFLUPYR = 122305)"," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","87,000",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)","2,367,000",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)","41,000",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","83,000",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)"," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)"," (D)",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYAZOFAMID = 85651)","7,000",""
"SURVEY","2016","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","POTATOES","POTATOES, FALL - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYMOXANIL = 129106)","40,000",""
